"attributeName" "code" "definition"
"1" "i.flag" "R" "real"
"2" "i.flag" "I" "interpolated"
"3" "i.flag" "B" "bad"
"4" "variable" "control" "no prey added"
"5" "variable" "low" "0.125 mg prey added ml-1 d-1"
"6" "variable" "med.low" "0,25 mg prey added ml-1 d-1"
"7" "variable" "med.high" "0.5 mg prey added ml-1 d-1"
"8" "variable" "high" "1.0 mg prey added ml-1 d-1"
"9" "variable" "air.temp" "air temperature measured just above all plants (1 thermocouple)"
"10" "variable" "water.temp" "water temperature measured within each pitcher"
"11" "variable" "par" "photosynthetic active radiation (PAR) measured just above all plants (1 sensor)"
"12" "value.i" "control" "% dissolved oxygen"
"13" "value.i" "low" "% dissolved oxygen"
"14" "value.i" "med.low" "% dissolved oxygen"
"15" "value.i" "med.high" "% dissolved oxygen"
"16" "value.i" "high" "% dissolved oxygen"
"17" "value.i" "air.temp" "degrees C"
"18" "value.i" "water.temp" "degrees C"
"19" "value.i" "par" "micromoles m-1 s-1"
